district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status,latlong_result_match_method
กงหรา2,ชะรัด,3,constituency,election_day,331,313,4,14,190,2,18,79,21,1,2,8,519,กงหรา,ชะรัด(เทศบาล),4,4,ศาลาประจ าหมู่บ้านบ้านท่ายาง,432,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศาลาประจำหมู่บ้านบ้านท่ายาง,7.470731900000001,99.9856344,2,221,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|3,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,4,constituency,election_day,399,383,12,4,204,2,33,92,50,1,1,8,520,กงหรา,ชะรัด(เทศบาล),5,5,อาคารส านักงานเทศบาลต าบลชะรัด,534,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,อาคารสำนักงานเทศบาลตำบลชะรัด,7.471220799999999,99.979161,2,222,location_exact_normalized,1.0,2,ชะรัด(เทศบาล)|4,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,5,constituency,election_day,429,411,14,4,201,6,18,137,49,0,0,8,521,กงหรา,ชะรัด(เทศบาล),6,5,อาคารส านักงานเทศบาลต าบลชะรัด,539,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,อาคารสำนักงานเทศบาลตำบลชะรัด,7.471220799999999,99.979161,2,222,location_exact_normalized,1.0,2,ชะรัด(เทศบาล)|5,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,6,constituency,election_day,277,264,7,6,73,1,30,142,16,1,1,8,522,กงหรา,ชะรัด(เทศบาล),7,6,ศาลาอเนกประสงค์บ้านนามะพร้าว,385,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศาลาอเนกประสงค์บ้านนามะพร้าว,7.470731900000001,99.9856344,2,223,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|6,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,7,constituency,election_day,617,590,14,13,211,3,69,277,26,3,1,8,523,กงหรา,ชะรัด(เทศบาล),8,7,ศูนย์ถ่ายทอดเทคโนโลยีต าบลชะรัด,717,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศูนย์ถ่ายทอดเทคโนโลยีตำบลชะรัด,7.470731900000001,99.9856344,2,224,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|7,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,8,constituency,election_day,383,341,15,27,139,1,41,123,35,1,1,8,524,กงหรา,ชะรัด(เทศบาล),9,8,ศาลาประจ าหมู่บ้านบ้านหูเล่,456,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศาลาประจำหมู่บ้านบ้านหูเล่,7.470731900000001,99.9856344,2,225,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|8,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,9,constituency,election_day,517,490,18,9,208,2,36,213,26,4,1,8,525,กงหรา,ชะรัด(เทศบาล),10,9,ศาลาประจ าหมู่บ้านบ้านสะพานแต้ว,609,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศาลาประจำหมู่บ้านบ้านสะพานแต้ว,7.470731900000001,99.9856344,2,226,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|9,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,0,constituency,election_day,645,610,13,22,343,2,51,170,42,1,1,7,493,ศรีนครินทร์,ชุมพล(เทศบาล),1,1,ศาลาประจ าหมู่บ้านบ้านชุมพล,732,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านชุมพล,7.6050041,99.9493424,2,227,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|0,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,1,constituency,election_day,345,332,8,5,190,3,48,66,24,1,0,7,494,ศรีนครินทร์,ชุมพล(เทศบาล),2,2,ศาลาประจ าหมู่บ้านบ้านหนองปริง,432,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านหนองปริง,7.6050041,99.9493424,2,228,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|1,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,2,constituency,election_day,363,342,11,10,206,1,15,88,32,0,0,7,495,ศรีนครินทร์,ชุมพล(เทศบาล),3,3,ศาลาประจ าหมู่บ้านบ้านหนองเสม็ด,434,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาประจำหมู่บ้านบ้านหนองเสม็ด,7.615725099999999,99.9576849,2,229,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|2,matched,fallback_unique_subdistrict_key
ศรีนครินทร์,ชุมพล,3,constituency,election_day,418,371,17,30,113,8,18,185,32,8,7,7,496,ศรีนครินทร์,ชุมพล(เทศบาล),4,3,ศาลาการเปรียญวัดล ากะ,816,พัทลุง,ท้องถิ่นเทศบาลตำบลชุมพล,ชุมพล,ศาลาการเปรียญวัดลำกะ,7.5827562,99.9618832,2,230,location_exact_normalized,1.0,1,ชุมพล(เทศบาล)|3,matched,fallback_unique_subdistrict_key
