district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,candidate_or_party,votes,vote_share
ศรีนครินทร์,ชุมพล,1,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองปริง,345,332,8,5,นิติศักดิ์ ธรรมเพชร,190,0.572289156626506
ศรีนครินทร์,ชุมพล,2,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองเสม็ด,363,342,11,10,นิติศักดิ์ ธรรมเพชร,206,0.6023391812865497
ศรีนครินทร์,ชุมพล,3,constituency,election_day,7.5827562,99.9618832,ศาลาการเปรียญวัดลำกะ,418,371,17,30,นิติศักดิ์ ธรรมเพชร,113,0.3045822102425876
ศรีนครินทร์,ชุมพล,4,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านห้วยไทร,402,387,15,0,นิติศักดิ์ ธรรมเพชร,178,0.4599483204134367
ศรีนครินทร์,ชุมพล,5,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),493,461,11,21,นิติศักดิ์ ธรรมเพชร,212,0.4598698481561822
ศรีนครินทร์,ชุมพล,6,constituency,election_day,7.6050041,99.9493424,ศาลาอเนกประสงค์บ้านทุ่งยวน,274,255,6,13,นิติศักดิ์ ธรรมเพชร,130,0.5098039215686274
ศรีนครินทร์,ชุมพล,7,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านควนดินสอ,637,609,10,18,นิติศักดิ์ ธรรมเพชร,229,0.3760262725779967
ศรีนครินทร์,ชุมพล,8,constituency,election_day,7.650070299999999,99.9772486,ศาลาอเนกประสงค์บ้านสวนโหนด,290,277,8,5,นิติศักดิ์ ธรรมเพชร,132,0.47653429602888087
ศรีนครินทร์,ชุมพล,9,constituency,election_day,17.0245089,102.9780981,ศาลาประจำหมู่บ้านบ้านหนองหว้า,349,340,7,2,นิติศักดิ์ ธรรมเพชร,207,0.6088235294117647
ศรีนครินทร์,ชุมพล,10,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านลำกะ,547,519,12,16,นิติศักดิ์ ธรรมเพชร,228,0.4393063583815029
ศรีนครินทร์,ชุมพล,11,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านต้นธง,244,233,5,6,นิติศักดิ์ ธรรมเพชร,151,0.648068669527897
ศรีนครินทร์,ชุมพล,12,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านนารา,254,245,1,8,นิติศักดิ์ ธรรมเพชร,159,0.6489795918367347
ศรีนครินทร์,ชุมพล,13,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองโหรง,275,260,9,6,นิติศักดิ์ ธรรมเพชร,135,0.5192307692307693
ศรีนครินทร์,ชุมพล,14,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมทอง,247,239,2,6,นิติศักดิ์ ธรรมเพชร,126,0.5271966527196653
ควนขนุน,ดอนทราย,0,constituency,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านเขากอย,206,205,1,0,นิติศักดิ์ ธรรมเพชร,26,0.12682926829268293
ควนขนุน,ดอนทราย,1,constituency,election_day,7.7253162,99.9828919,ศาลาประจำหมู่บ้านบ้านหม้อ,372,365,2,5,นิติศักดิ์ ธรรมเพชร,81,0.2219178082191781
ควนขนุน,ดอนทราย,2,constituency,election_day,7.7066667,99.9511111,ศาลาประจำหมู่บ้านบ้านเขาวัง,301,290,7,4,นิติศักดิ์ ธรรมเพชร,53,0.18275862068965518
ควนขนุน,ดอนทราย,3,constituency,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านลำรุณ,255,250,1,4,นิติศักดิ์ ธรรมเพชร,30,0.12
ควนขนุน,ดอนทราย,4,constituency,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านควนเหลง,475,452,14,9,นิติศักดิ์ ธรรมเพชร,76,0.168141592920354
