district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status
ควนขนุน,ชะมวง,9,constituency,election_day,196,191,1,4,44,0,18,116,10,1,2,2.0,319.0,ควนขนุน,ชะมวง,10.0,11,ศาลาประจ าหมู่บ้านบ้านปาบ,257.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านปาบ,7.737530199999998,99.9891287,2.0,123.0,location_exact_normalized,1.0,1.0,ชะมวง|9,matched
ควนขนุน,ชะมวง,10,constituency,election_day,486,476,9,1,161,1,24,266,21,1,2,2.0,320.0,ควนขนุน,ชะมวง,11.0,12,ศาลาประจ าหมู่บ้านบ้านสามหนอง,539.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านสามหนอง,7.771804299999999,99.9381744,2.0,124.0,location_exact_normalized,1.0,1.0,ชะมวง|10,matched
ควนขนุน,ชะมวง,11,constituency,election_day,296,285,5,6,83,1,13,174,14,0,0,2.0,321.0,ควนขนุน,ชะมวง,12.0,13,ศาลาประจ าหมู่บ้านบ้านศาลาม่วง,336.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านศาลาม่วง,7.7427958,99.9646715,2.0,125.0,location_exact_normalized,1.0,1.0,ชะมวง|11,matched
ควนขนุน,ชะมวง,12,constituency,election_day,462,448,9,5,93,1,44,285,23,0,2,2.0,322.0,ควนขนุน,ชะมวง,13.0,14,ศาลาประจ าหมู่บ้านบ้านไสตอ,552.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสตอ,7.7851689,99.9546944,2.0,126.0,location_exact_normalized,1.0,1.0,ชะมวง|12,matched
ควนขนุน,ชะมวง,13,constituency,election_day,588,572,9,7,166,2,73,291,37,1,2,3.0,323.0,ควนขนุน,ชะมวง,14.0,15,ศาลาประจ าหมู่บ้านบ้านหยีใน,668.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหยีใน,7.769434400000001,99.9700718,2.0,127.0,location_exact_normalized,1.0,1.0,ชะมวง|13,matched
ควนขนุน,ชะมวง,14,constituency,election_day,366,349,10,7,84,0,33,218,12,2,0,3.0,324.0,ควนขนุน,ชะมวง,15.0,16,ศาลาประจ าหมู่บ้านบ้านไสตอตก,425.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสตอตก,7.7851689,99.9546944,2.0,128.0,location_exact_normalized,1.0,1.0,ชะมวง|14,matched
กงหรา2,ชะรัด,0,constituency,election_day,593,565,14,14,209,1,42,278,31,2,2,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,1,constituency,election_day,419,393,17,9,118,4,27,215,27,2,0,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,2,constituency,election_day,655,619,26,10,232,3,70,273,39,2,0,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,3,constituency,election_day,331,313,4,14,190,2,18,79,21,1,2,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,4,constituency,election_day,399,383,12,4,204,2,33,92,50,1,1,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,5,constituency,election_day,429,411,14,4,201,6,18,137,49,0,0,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,6,constituency,election_day,277,264,7,6,73,1,30,142,16,1,1,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,7,constituency,election_day,617,590,14,13,211,3,69,277,26,3,1,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,8,constituency,election_day,383,341,15,27,139,1,41,123,35,1,1,,,,,,,,,,,,,,,,,,,,,unmatched
กงหรา2,ชะรัด,9,constituency,election_day,517,490,18,9,208,2,36,213,26,4,1,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,0,constituency,election_day,645,610,13,22,343,2,51,170,42,1,1,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,1,constituency,election_day,345,332,8,5,190,3,48,66,24,1,0,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,2,constituency,election_day,363,342,11,10,206,1,15,88,32,0,0,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,3,constituency,election_day,418,371,17,30,113,8,18,185,32,8,7,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,4,constituency,election_day,402,387,15,0,178,0,54,134,18,2,1,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,5,constituency,election_day,493,461,11,21,212,0,61,146,35,1,6,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,6,constituency,election_day,274,255,6,13,130,0,26,80,18,0,1,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,7,constituency,election_day,637,609,10,18,229,1,65,246,66,0,2,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,8,constituency,election_day,290,277,8,5,132,1,33,100,10,0,1,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,9,constituency,election_day,349,340,7,2,207,0,9,112,11,1,0,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,10,constituency,election_day,547,519,12,16,228,3,43,210,30,3,2,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,11,constituency,election_day,244,233,5,6,151,1,19,48,13,0,1,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,12,constituency,election_day,254,245,1,8,159,0,44,30,11,0,1,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,13,constituency,election_day,275,260,9,6,135,0,17,96,10,0,2,,,,,,,,,,,,,,,,,,,,,unmatched
ศรีนครินทร์,ชุมพล,14,constituency,election_day,247,239,2,6,126,1,20,82,10,0,0,,,,,,,,,,,,,,,,,,,,,unmatched
ควนขนุน,ดอนทราย,0,constituency,election_day,206,205,1,0,26,0,2,172,4,0,1,3.0,325.0,ควนขนุน,ดอนทราย,1.0,1,ศาลาประจ าหมู่บ้านบ้านเขากอย,254.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านเขากอย,7.7173634,99.9632741,2.0,80.0,location_exact_normalized,1.0,1.0,ดอนทราย|0,matched
ควนขนุน,ดอนทราย,1,constituency,election_day,372,365,2,5,81,2,39,207,30,0,6,3.0,326.0,ควนขนุน,ดอนทราย,2.0,2,ศาลาประจ าหมู่บ้านบ้านหม้อ,437.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านหม้อ,7.7253162,99.9828919,2.0,81.0,location_exact_normalized,1.0,1.0,ดอนทราย|1,matched
ควนขนุน,ดอนทราย,2,constituency,election_day,301,290,7,4,53,0,22,208,7,0,0,3.0,327.0,ควนขนุน,ดอนทราย,3.0,3,ศาลาประจ าหมู่บ้านบ้านเขาวัง,356.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านเขาวัง,7.7066667,99.9511111,2.0,82.0,location_exact_normalized,1.0,1.0,ดอนทราย|2,matched
ควนขนุน,ดอนทราย,3,constituency,election_day,255,250,1,4,30,1,9,204,6,0,0,3.0,328.0,ควนขนุน,ดอนทราย,4.0,4,ศาลาประจ าหมู่บ้านบ้านล ารุณ,303.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านลำรุณ,7.7173634,99.9632741,2.0,83.0,location_exact_normalized,1.0,1.0,ดอนทราย|3,matched
ควนขนุน,ดอนทราย,4,constituency,election_day,475,452,14,9,76,2,49,306,19,0,0,3.0,329.0,ควนขนุน,ดอนทราย,5.0,5,ศาลาประจ าหมู่บ้านบ้านควนเหลง,568.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านควนเหลง,7.7173634,99.9632741,2.0,84.0,location_exact_normalized,1.0,1.0,ดอนทราย|4,matched
ควนขนุน,ดอนทราย,5,constituency,election_day,284,272,5,7,29,0,12,215,13,1,2,3.0,330.0,ควนขนุน,ดอนทราย,6.0,6,ศาลาประจ าหมู่บ้านบ้านเกาะทอง,345.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านเกาะทอง,7.722331100000001,99.9800438,2.0,85.0,location_exact_normalized,1.0,1.0,ดอนทราย|5,matched
ควนขนุน,ดอนทราย,6,constituency,election_day,528,519,5,4,44,2,22,434,17,0,0,3.0,331.0,ควนขนุน,ดอนทราย,7.0,7,ศาลาประจ าหมู่บ้านบ้านควนดินแดง,668.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านควนดินแดง,7.7186105,99.9665503,2.0,86.0,location_exact_normalized,1.0,1.0,ดอนทราย|6,matched
ควนขนุน,ดอนทราย,7,constituency,election_day,262,251,6,5,39,7,10,187,8,0,0,3.0,332.0,ควนขนุน,ดอนทราย,8.0,8,ศาลาประจ าหมู่บ้านบ้านจันนา,319.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านจันนา,7.7290582,99.9418062,2.0,87.0,location_exact_normalized,1.0,1.0,ดอนทราย|7,matched
ควนขนุน,ดอนทราย,8,constituency,election_day,586,566,7,13,106,2,56,370,28,1,3,3.0,333.0,ควนขนุน,ดอนทราย,9.0,9,ศาลาประจ าหมู่บ้านบ้านไสอ้อย,698.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านไสอ้อย,7.706008700000001,99.9771524,2.0,88.0,location_exact_normalized,1.0,1.0,ดอนทราย|8,matched
ควนขนุน,ดอนทราย,9,constituency,election_day,379,369,3,7,58,2,22,276,11,0,0,3.0,334.0,ควนขนุน,ดอนทราย,10.0,10,ศาลาประจ าหมู่บ้านบ้านไสโพธิ์,463.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านไสโพธิ์,7.7714851,100.0555474,2.0,89.0,location_exact_normalized,1.0,1.0,ดอนทราย|9,matched
ควนขนุน,ดอนทราย,10,constituency,election_day,264,257,5,2,57,5,11,175,7,0,2,3.0,335.0,ควนขนุน,ดอนทราย,11.0,11,ศาลาประจ าหมู่บ้านบ้านจันนาตก,325.0,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านจันนาตก,7.7290582,99.9418062,2.0,90.0,location_exact_normalized,1.0,1.0,ดอนทราย|10,matched
ศรีบรรพต,ตะแพน,0,constituency,election_day,340,335,2,3,136,3,31,143,21,0,1,6.0,455.0,ศรีบรรพต,ตะแพน,1.0,1,ศาลาประจ าหมู่บ้าน บ้านสวนโหนด,397.0,พัทลุง,อำเภอศรีบรรพต,ตะแพน,ศาลาประจำหมู่บ้าน บ้านสวนโหนด หมู่ที่ 1,7.6514478,99.9629591,2.0,158.0,location_fuzzy,0.875,1.0,ตะแพน|0,matched
ศรีบรรพต,ตะแพน,1,constituency,election_day,603,583,16,4,147,3,47,344,42,0,0,6.0,456.0,ศรีบรรพต,ตะแพน,2.0,2,โรงอาหารโรงเรียนวัดตะแพน,713.0,พัทลุง,อำเภอศรีบรรพต,ตะแพน,โรงอาหารโรงเรียนวัดตะแพน,7.6554624,99.8766586,2.0,159.0,location_exact_normalized,1.0,1.0,ตะแพน|1,matched
