source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,อธิคม ขุนแก้ว,ภพเอกอัคร อินทรโม,สมเสริม ชูรักษ์,นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,1,FAIL,MISMATCH,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ศุภกร ขุนชิต; single_party_dominance: พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: สมเสริม ชูรักษ์; single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: ศุภกร ขุนชิต; score_outlier: พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง; score_outlier: ภพเอกอัคร อินทรโม,2.0,1.0,2.0,3.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,206.0,107.0,89.0,0.0,290.0,27.0,251.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,2,PASS,OK,,501.0,482.0,12.0,7.0,,,225.0,33.0,1.0,3.0,68.0,0.0,152.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,3,PASS,OK,,439.0,422.0,14.0,3.0,,,194.0,12.0,1.0,0.0,79.0,1.0,135.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,4,FAIL,MISMATCH,,314.0,298.0,56.0,10.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,124.0,23.0,0.0,0.0,31.0,2.0,118.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,5,FAIL,MISMATCH,,493.0,448.0,6.0,9.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,247.0,19.0,1.0,2.0,42.0,0.0,103.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,6,PASS,MISMATCH,,406.0,395.0,6.0,5.0,,ballot_total differs between forms,161.0,17.0,2.0,3.0,53.0,1.0,158.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,7,FAIL,MISMATCH,,571.0,576.0,8.0,7.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,273.0,42.0,1.0,4.0,113.0,0.0,143.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,8,FAIL,MISMATCH,single_party_dominance: นิติศักดิ์ ธรรมเพชร,47.0,47.0,5.0,67.0,ballot_total: '๔๗' → 47 (thai digit); ballot_valid: '๔๗' → 47 (thai digit); ballot_invalid: '๕' → 5 (thai digit); ballot_no_vote: '๖๗' → 67 (thai digit); scores['วรท เทอดวีระพงศ์']: '๑๑' → 11 (thai digit); scores['ศุภกร ขุนชิต']: '๓' → 3 (thai digit); scores['ภพเอกอัคร อินทรโม']: '๒๒' → 22 (thai digit); scores['นิติศักดิ์ ธรรมเพชร']: '๑๕๐' → 150 (thai digit),ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,11.0,3.0,0.0,0.0,22.0,0.0,150.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,9,PASS,OK,,341.0,336.0,3.0,2.0,,,94.0,23.0,1.0,1.0,80.0,0.0,137.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,10,FAIL,OK,,427.0,413.0,521.0,4.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,233.0,25.0,0.0,2.0,42.0,0.0,104.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,11,FAIL,OK,,387.0,362.0,14.0,11.0,,sum(scores.values()) does not equal ballot_valid,100.0,19.0,2.0,1.0,36.0,1.0,202.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,0,FAIL,MISMATCH,,,,,,,parse_error: No structured election values found in OCR text; ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,,,,,,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,1,FAIL,MISMATCH,single_party_dominance: นิติศักดิ์ ธรรมเพชร,75.0,80.0,8.0,5.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,66.0,24.0,3.0,0.0,48.0,1.0,190.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,2,PASS,OK,,363.0,342.0,11.0,10.0,,,88.0,32.0,1.0,0.0,15.0,0.0,206.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,3,FAIL,OK,,418.0,371.0,17.0,819.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total,185.0,32.0,8.0,7.0,18.0,8.0,113.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,4,FAIL,MISMATCH,,402.0,387.0,15.0,0.0,,sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,131.0,18.0,0.0,1.0,54.0,2.0,178.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,5,FAIL,OK,,493.0,461.0,493.0,21.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,146.0,35.0,0.0,6.0,61.0,1.0,272.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,6,PASS,OK,,274.0,255.0,6.0,13.0,,,80.0,18.0,0.0,1.0,26.0,0.0,130.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,7,FAIL,OK,,637.0,609.0,10.0,18.0,,scores['สมเสริม ชูรักษ์'] is None,246.0,66.0,1.0,2.0,65.0,,229.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,8,PASS,OK,,290.0,277.0,8.0,5.0,,,100.0,10.0,1.0,1.0,33.0,0.0,132.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,9,FAIL,OK,,349.0,340.0,7.0,2.0,,sum(scores.values()) does not equal ballot_valid,112.0,11.0,0.0,0.0,9.0,1.0,201.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,10,FAIL,MISMATCH,,2.0,519.0,12.0,16.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,210.0,30.0,8.0,2.0,13.0,3.0,224.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,11,FAIL,MISMATCH,single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: ศุภกร ขุนชิต; score_outlier: ภพเอกอัคร อินทรโม; score_outlier: นิติศักดิ์ ธรรมเพชร,245.0,233.0,55.0,67.0,ballot_total: '๒๔๕' → 245 (thai digit); ballot_valid: '๒๓๓' → 233 (thai digit); ballot_invalid: '๕๕' → 55 (thai digit); ballot_no_vote: '๖๗' → 67 (thai digit); scores['วรท เทอดวีระพงศ์']: '๕๖' → 56 (thai digit); scores['ศุภกร ขุนชิต']: '๑๓๓' → 133 (thai digit); scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง']: '๑' → 1 (thai digit); scores['อธิคม ขุนแก้ว']: '๑' → 1 (thai digit); scores['ภพเอกอัคร อินทรโม']: '๑๙๕' → 195 (thai digit); scores['สมเสริม ชูรักษ์']: '๐' → 0 (thai digit); scores['นิติศักดิ์ ธรรมเพชร']: '๑๕๑๐' → 1510 (thai digit),ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,56.0,133.0,1.0,1.0,195.0,0.0,1510.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,12,FAIL,OK,score_outlier: สมเสริม ชูรักษ์,204.0,198.0,1.0,5.0,"scores['สมเสริม ชูรักษ์']: '157,' → 157 (removed comma)",sum(scores.values()) does not equal ballot_valid,30.0,11.0,0.0,1.0,22.0,157.0,159.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,13,PASS,MISMATCH,,275.0,260.0,9.0,6.0,,ballot_total differs between forms,96.0,10.0,0.0,2.0,17.0,0.0,135.0
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,14,FAIL,MISMATCH,,290.0,242.0,42.0,6.0,,sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,82.0,10.0,1.0,0.0,20.0,0.0,126.0
