source_file,unit_index,form_type,ballot_total,ballot_valid,turnout,stat_flags
อำเภอกงหรา2/47ตำบลชะรัด.pdf,1,partylist,15.0,16.0,,single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย
อำเภอกงหรา2/47ตำบลชะรัด.pdf,2,partylist,2.0,631.0,,score_outlier: ความหวังใหม่
อำเภอกงหรา2/47ตำบลชะรัด.pdf,3,partylist,301.0,309.0,,score_outlier: ประชาชาติ
อำเภอกงหรา2/47ตำบลชะรัด.pdf,4,partylist,399.0,383.0,,score_outlier: มิติใหม่; score_outlier: รวมใจไทย; score_outlier: ประชาชาติ; score_outlier: ประชาไทย
อำเภอกงหรา2/47ตำบลชะรัด.pdf,5,partylist,429.0,414.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,6,partylist,,,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,7,partylist,617.0,592.0,,score_outlier: ไทยก้าวหน้า
อำเภอกงหรา2/47ตำบลชะรัด.pdf,8,partylist,375.0,3620.0,,score_outlier: ใหม่; score_outlier: รวมใจไทย; score_outlier: ภูมิใจไทย; score_outlier: พลังประชารัฐ; score_outlier: ไทยสร้างไทย; score_outlier: เพื่อบ้านเมือง
อำเภอกงหรา2/47ตำบลชะรัด.pdf,9,partylist,,,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,0,partylist,561.0,539.0,,score_outlier: โอกาสใหม่
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,1,partylist,399.0,380.0,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,2,partylist,536.0,508.0,,single_party_dominance: เพื่อชาติไทย; single_party_dominance: ประชาธิปัตย์; score_outlier: เพื่อชาติไทย; score_outlier: คลองไทย; score_outlier: ไทยภักดี; score_outlier: ไทยพร้อม; score_outlier: พร้อม
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,3,partylist,22.0,208.0,,single_party_dominance: ประชาธิปัตย์; score_outlier: ไทยชนะ; score_outlier: ประชาชาติ
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,4,partylist,417.0,401.0,,single_party_dominance: เศรษฐกิจ
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,5,partylist,2.0,567.0,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,6,partylist,604.0,567.0,,score_outlier: คลองไทย; score_outlier: แรงงานสร้างชาติ
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,7,partylist,,,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,8,partylist,233.0,214.0,,score_outlier: ใหม่
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,0,partylist,450.0,421.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,1,partylist,379.0,366.0,,single_party_dominance: เศรษฐกิจ; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ท้องที่ไทย; single_party_dominance: ประชาชน; score_outlier: เศรษฐกิจ; score_outlier: รวมพลังประชาชน; score_outlier: ท้องที่ไทย; score_outlier: ประชาชน
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,2,partylist,134.0,22.0,,single_party_dominance: เศรษฐกิจ; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย; single_party_dominance: พลังธรรมใหม่; single_party_dominance: เป็นธรรม; score_outlier: พลังธรรมใหม่; score_outlier: เป็นธรรม
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,3,partylist,2.0,1.0,,single_party_dominance: ใหม่; single_party_dominance: รวมใจไทย; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: พลวัต; single_party_dominance: เพื่อไทย; single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ปวงชนไทย; single_party_dominance: เพื่อชีวิตใหม่; single_party_dominance: คลองไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: แรงงานสร้างชาติ; single_party_dominance: ประชาชาติ; single_party_dominance: รักชาติ; single_party_dominance: ภูมิใจไทย; single_party_dominance: กรีน; single_party_dominance: กล้าธรรม; single_party_dominance: เป็นธรรม; single_party_dominance: ประชาชน; single_party_dominance: ประชาไทย; single_party_dominance: พลังไทยรักชาติ; score_outlier: ปวงชนไทย; score_outlier: รักชาติ; score_outlier: พลังไทยรักชาติ
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,4,partylist,300.0,295.0,,score_outlier: รวมไทยสร้างชาติ
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,5,partylist,228.0,219.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,6,partylist,2.0,292.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,7,partylist,250.0,229.0,,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,0,partylist,619.0,576.0,,score_outlier: ปวงชนไทย
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,1,partylist,1493.0,1486.0,,ballot_total_outlier; single_party_dominance: เพื่อไทย; score_outlier: เพื่อไทย; score_outlier: ไทยภักดี; score_outlier: เพื่อบ้านเมือง
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,2,partylist,501.0,468.0,,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,3,partylist,439.0,413.0,,single_party_dominance: เพื่อชีวิตใหม่; score_outlier: เพื่อชีวิตใหม่
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,4,partylist,,,,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,5,partylist,477.0,474.0,,single_party_dominance: เศรษฐกิจ; score_outlier: เสรีรวมไทย
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,6,partylist,12.0,9.0,,single_party_dominance: เพื่อไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย; score_outlier: ไทยธรรม
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,7,partylist,2.0,574.0,,score_outlier: ไทรวมพลัง; score_outlier: ความหวังใหม่
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,8,partylist,479.0,409.0,,single_party_dominance: ประชาธิปัตย์; score_outlier: ไทยชนะ; score_outlier: พลังสังคมใหม่; score_outlier: ประชาธิปัตย์; score_outlier: ครูไทยเพื่อประชาชน; score_outlier: ภูมิใจไทย; score_outlier: กล้าธรรม; score_outlier: ไทยสร้างไทย
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,9,partylist,341.0,327.0,,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,10,partylist,427.0,409.0,,score_outlier: ไทยธรรม
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,11,partylist,387.0,361.0,,score_outlier: ประชากรไทย; score_outlier: แผ่นดินธรรม
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,0,partylist,105.0,100.0,,single_party_dominance: ประชาธิปัตย์; score_outlier: ไทยพิทักษ์ธรรม
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,1,partylist,2.0,328.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,2,partylist,363.0,339.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,3,partylist,418.0,399.0,,score_outlier: รวมใจไทย; score_outlier: อนาคตไทย; score_outlier: ก้าวอิสระ
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,4,partylist,102.0,98.0,,single_party_dominance: ประชาธิปัตย์
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,5,partylist,493.0,455.0,,score_outlier: ปวงชนไทย; score_outlier: สร้างอนาคตไทย
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,6,partylist,274.0,259.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,7,partylist,637.0,604.0,,score_outlier: ไทยก้าวหน้า
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,8,partylist,290.0,274.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,9,partylist,349.0,331.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,10,partylist,527.0,526.0,,single_party_dominance: ประชาธิปัตย์; score_outlier: ไทรวมพลัง
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,11,partylist,24.0,25.0,,single_party_dominance: พลวัต; single_party_dominance: ประชาธิปัตย์; score_outlier: พลวัต; score_outlier: พลังเพื่อไทย; score_outlier: ไทยชนะ
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,12,partylist,204.0,245.0,,score_outlier: ไทยก้าวหน้า; score_outlier: กรีน
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,13,partylist,2.0,260.0,,score_outlier: เครือข่ายชาวนาแห่งประเทศไทย
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,14,partylist,247.0,242.0,,
