pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
3,347,12,ควนขนุน,นาขยาด,12,ศาลาประจ าหมู่บ้านบ้านเขาวังทอง,522
3,348,1,ควนขนุน,พนมวังก์,1,ศาลาอเนกประสงค์บ้านเขานม (อบต.หลังเก่า),455
3,349,2,ควนขนุน,พนมวังก์,2,ศาลาประจ าหมู่บ้านบ้านระหว่างควน,821
3,350,3,ควนขนุน,พนมวังก์,3,ศาลาประจ าหมู่บ้านบ้านควนปริง,693
3,351,4,ควนขนุน,พนมวังก์,4,โรงเรียนทุ่งยางเปล,656
3,352,5,ควนขนุน,พนมวังก์,5,ศาลาประจ าหมู่บ้านบ้านพนมวังก์,485
3,353,6,ควนขนุน,พนมวังก์,6,ศาลาประจ าหมู่บ้านบ้านทุ่งขึงหนัง,771
3,354,7,ควนขนุน,พนมวังก์,7,ศาลาประจ าหมู่บ้านบ้านไสยวน,631
3,355,8,ควนขนุน,พนมวังก์,8,ศาลาประจ าหมู่บ้านบ้านเกาะอ้ายเฒ่า,708
3,356,1,ควนขนุน,แพรกหา,1,ศาลาประจ าหมู่บ้านบ้านม่วงเตี้ย,779
3,357,2,ควนขนุน,แพรกหา,2,ศาลาประจ าหมู่บ้านบ้านไสขาม,441
4,358,3,ควนขนุน,แพรกหา,3,ศาลาประจ าหมู่บ้านบ้านแพรกหา,697
4,359,4,ควนขนุน,แพรกหา,4,ศาลา อพป.บ้านเขาโต๊ะบุญ,804
4,360,5,ควนขนุน,แพรกหา,5,ศาลาประจ าหมู่บ้านบ้านเขาพังอิฐ,793
4,361,6,ควนขนุน,แพรกหา,6,ศาลาประจ าหมู่บ้านบ้านเขาป้าเจ้,501
4,362,7,ควนขนุน,แพรกหา,7,ศาลาประจ าหมู่บ้านบ้านไสหยี,535
4,363,8,ควนขนุน,แพรกหา,8,ศาลาประจ าหมู่บ้านบ้านควนน้อย,469
4,364,1,ควนขนุน,ปันแต,1,ศาลาประจ าหมู่บ้านบ้านปลายคลอง,281
4,365,2,ควนขนุน,ปันแต,2,ศาลาประจ าหมู่บ้านบ้านปันแต,160
4,366,3,ควนขนุน,ปันแต,3,ศาลาประจ าหมู่บ้านบ้านส านักกอ,593
4,367,4,ควนขนุน,ปันแต,4,ศาลาประจ าหมู่บ้านบ้านปากสระ,337
4,368,5,ควนขนุน,ปันแต,5,ศาลาประจ าหมู่บ้านบ้านควนปันแต,633
4,369,6,ควนขนุน,ปันแต,6,ศาลาประจ าหมู่บ้านบ้านในไร่,602
4,370,7,ควนขนุน,ปันแต,7,ศาลาประจ าหมู่บ้านบ้านโพธิ์,246
4,371,8,ควนขนุน,ปันแต,8,ศาลาประจ าหมู่บ้านบ้านสุนทราออก,199
4,372,9,ควนขนุน,ปันแต,9,ศาลาประจ าหมู่บ้านบ้านสุนทราตก,457
4,373,10,ควนขนุน,ปันแต,10,สถานปฏิบัติธรรมบ้านไสหลวง,444
4,374,11,ควนขนุน,ปันแต,11,ศาลาประจ าหมู่บ้านบ้านทุ่งลาน,473
4,375,12,ควนขนุน,ปันแต,12,ศาลาประจ าหมู่บ้านบ้านหารเจ,383
4,376,13,ควนขนุน,ปันแต,13,ศาลาประจ าหมู่บ้านบ้านเขากลาง,242
4,377,1,ควนขนุน,ควนขนุน(เทศบาล),5,อาคารอเนกประสงค์ ส านักงานเทศบาลต าบลควนขนุน,349
4,378,2,ควนขนุน,ควนขนุน(เทศบาล),9,อาคารหอประชุมโรงเรียนบ้านควนขนุน,479
4,379,3,ควนขนุน,ควนขนุน(เทศบาล),9,ศาลาการเปรียญวัดสุวรรณวิชัย,599
4,380,4,ควนขนุน,ควนขนุน(เทศบาล),9,อาคารพ่อท่านนะ  วัดสุวรรณวิชัย,296
4,381,1,ควนขนุน,ควนขนุน,1,ศาลาประจ าหมู่บ้านบ้านควนบก,447
4,382,2,ควนขนุน,ควนขนุน,2,ศาลา อพป.บ้านดอนนูด,399
4,383,3,ควนขนุน,ควนขนุน,3,ศาลาประจ าหมู่บ้านบ้านโคกวัด,761
4,384,4,ควนขนุน,ควนขนุน,4,ศาลาประจ าหมู่บ้านบ้านโคกวา,909
4,385,5,ควนขนุน,ควนขนุน,5,ศาลาประจ าหมู่บ้านบ้านเพิง,465
4,386,6,ควนขนุน,ควนขนุน,6,ศาลาประจ าหมู่บ้านบ้านควนพลี,735
4,387,7,ควนขนุน,ควนขนุน,7,ศาลาประจ าหมู่บ้านบ้านโพธิ์,489
4,388,8,ควนขนุน,ควนขนุน,8,ศาลาประจ าหมู่บ้านบ้านข่อยม้า,256
4,389,9,ควนขนุน,ควนขนุน,9,ศาลาประจ าหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,104
4,390,1,ป่าพะยอม,เกาะเต่า,1,ศาลาประจ าหมู่บ้านบ้านไร่เจ็ดสิบ,621
4,391,2,ป่าพะยอม,เกาะเต่า,2,ศาลาประจ าหมู่บ้านบ้านห้วยกรวด,408
4,392,3,ป่าพะยอม,เกาะเต่า,3,ศาลาประจ าหมู่บ้านบ้านบางหล่อ,462
5,393,4,ป่าพะยอม,เกาะเต่า,3,ศูนย์สาธิตการตลาดบ้านบางหล่อ,660
5,394,5,ป่าพะยอม,เกาะเต่า,4,ศาลาประจ าหมู่บ้านบ้านคลองใหญ่,1005
5,395,6,ป่าพะยอม,เกาะเต่า,5,ศาลาประจ าหมู่บ้านบ้านไสเลียบ,473
5,396,7,ป่าพะยอม,เกาะเต่า,5,ศูนย์เรียนรู้บ้านไสเลียบ,623
5,397,8,ป่าพะยอม,เกาะเต่า,6,ศาลาประจ าหมู่บ้านบ้านปากเหมือง,555
5,398,9,ป่าพะยอม,เกาะเต่า,7,ศาลาประจ าหมู่บ้านบ้านประชาสามัคคี,477
5,399,10,ป่าพะยอม,เกาะเต่า,8,ศาลาประจ าหมู่บ้านบ้านหน าวัว,621
