province,registrar,subdistrict,electorate,location,latitude,longitude,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,pdf_sequence,pdf_page,unit_match_method,unit_match_score,unit_match_note
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านในตลาด,7.3838149,100.2598974,ควนขนุน,แหลมโตนด,9,8,9,ศาลาประจ าหมู่บ้านบ้านในตลาด,332,261,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านปลายคลอง,7.792807099999998,100.0611429,ควนขนุน,ปันแต,1,0,1,ศาลาประจ าหมู่บ้านบ้านปลายคลอง,281,364,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านปันแต,7.791803600000001,100.0351252,ควนขนุน,ปันแต,2,1,2,ศาลาประจ าหมู่บ้านบ้านปันแต,160,365,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านสำนักกอ,7.804429099999999,100.0067757,ควนขนุน,ปันแต,3,2,3,ศาลาประจ าหมู่บ้านบ้านส านักกอ,593,366,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านปากสระ,7.804978500000001,100.0569463,ควนขนุน,ปันแต,4,3,4,ศาลาประจ าหมู่บ้านบ้านปากสระ,337,367,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านควนปันแต,7.8043368,100.0275755,ควนขนุน,ปันแต,5,4,5,ศาลาประจ าหมู่บ้านบ้านควนปันแต,633,368,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านในไร่,7.7882409,100.0275755,ควนขนุน,ปันแต,6,5,6,ศาลาประจ าหมู่บ้านบ้านในไร่,602,369,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านโพธิ์,7.7850935,100.0471549,ควนขนุน,ปันแต,7,6,7,ศาลาประจ าหมู่บ้านบ้านโพธิ์,246,370,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านสุนทราออก,7.782078799999999,100.0611429,ควนขนุน,ปันแต,8,7,8,ศาลาประจ าหมู่บ้านบ้านสุนทราออก,199,371,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านสุนทราตก,7.782478,100.0443576,ควนขนุน,ปันแต,9,8,9,ศาลาประจ าหมู่บ้านบ้านสุนทราตก,457,372,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ปันแต,2,สถานปฏิบัติธรรมบ้านไสหลวง,7.7735798,100.0289689,ควนขนุน,ปันแต,10,9,10,สถานปฏิบัติธรรมบ้านไสหลวง,444,373,4,location_exact_normalized,1.0,
