province,registrar,subdistrict,electorate,location,latitude,longitude
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านโคกโพธิ์,7.691745399999999,100.0315103
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านไสโดน,7.7160528,100.0191857
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านโตนดด้วน หมู่ที่ 9,7.7160528,100.0191857
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้านบ้านตีนคลอง,7.7160528,100.0191857
พัทลุง,อำเภอควนขนุน,โตนดด้วน,2,ศาลาประจำหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,7.7160528,100.0191857
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านเขากอย,7.7173634,99.9632741
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านหม้อ,7.7253162,99.9828919
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านเขาวัง,7.7066667,99.9511111
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านลำรุณ,7.7173634,99.9632741
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านควนเหลง,7.7173634,99.9632741
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านเกาะทอง,7.722331100000001,99.9800438
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านควนดินแดง,7.7186105,99.9665503
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านจันนา,7.7290582,99.9418062
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านไสอ้อย,7.706008700000001,99.9771524
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านไสโพธิ์,7.7714851,100.0555474
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านจันนาตก,7.7290582,99.9418062
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,โรงอาหารโรงเรียนประดู่เรียง,7.7409914,100.0858852
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านปากคลองเก่า,7.739052,100.0712741
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านเขาอ้อ,7.7544444,100.0663889
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านค่ายเสือ,7.7416636,100.0695367
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านนาสวน,7.7416636,100.0695367
