source_file,unit_index,form_type,ballot_total,ballot_valid,turnout,stat_flags
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,8,partylist,375.0,360.0,,score_outlier: อนาคตไทย; score_outlier: พลังสังคมใหม่; score_outlier: สังคมประชาธิปไดยไทย; score_outlier: ปวงชนไทย
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,9,partylist,496.0,416.0,,score_outlier: ปวงชนไทย
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,partylist,,729.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,partylist,,731.0,,single_party_dominance: ประชาชน; score_outlier: เศรษฐกิจ; score_outlier: ประชาชน
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,partylist,,945.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,partylist,,498.0,,score_outlier: อนาคตไทย
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,partylist,,731.0,,score_outlier: ปวงชนไทย; score_outlier: ไทยก้าวใหม่
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,partylist,,763.0,,score_outlier: ประชาไทย; score_outlier: ประชาอาสาชาติ
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,partylist,,1.0,,single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: อนาคตไทย; single_party_dominance: พลังเพื่อไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยภักดี; single_party_dominance: ไทยพร้อม; single_party_dominance: ภูมิใจไทย; single_party_dominance: กรีน; single_party_dominance: กล้าธรรม; single_party_dominance: พลังประชารัฐ; single_party_dominance: โอกาสใหม่; single_party_dominance: เป็นธรรม; single_party_dominance: ประชาชน; single_party_dominance: ไทยสร้างไทย; single_party_dominance: ไทยก้าวใหม่; single_party_dominance: ความหวังใหม่; score_outlier: อนาคตไทย; score_outlier: ความหวังใหม่
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,partylist,,736.0,,score_outlier: ไทยก้าวหน้า
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,partylist,,739.0,,score_outlier: ก้าวอิสระ
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,partylist,,749.0,,score_outlier: ท้องที่ไทย; score_outlier: พลังประชารัฐ
