source_file,unit_index,form_type,status,cross_status,issues,stat_flags
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,3,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,score_outlier: อนาคตไทย; score_outlier: พลังเพื่อไทย; score_outlier: พลังสังคมใหม่
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,4,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ประชาชาติ'] is None; scores['สร้างอนาคตไทย'] is None; ballot_total differs between forms,score_outlier: เสรีรวมไทย; score_outlier: รวมพลังประชาชน
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,6,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ไทยทรัพย์ทวี'] is None; ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,7,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid,score_outlier: กล้าธรรม; score_outlier: เครือข่ายชาวนาแห่งประเทศไทย; score_outlier: ไทยพิทักษ์ธรรม
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,score_outlier: ท้องที่ไทย
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,9,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,10,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['คลองไทย'] is None; scores['ไทยก้าวหน้า'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,score_outlier: ครูไทยเพื่อประชาชน
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,partylist,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ไทยทรัพย์ทวี'] is None; scores['เพื่อชาติไทย'] is None; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['รวมไทยสร้างชาติ'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['เพื่อไทย'] is None; scores['ทางเลือกไทย'] is None,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid,score_outlier: มิติใหม่; score_outlier: แรงงานสร้างชาติ
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,4,partylist,FAIL,OK,scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['กล้าธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,5,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,score_outlier: ไทยภักดี; score_outlier: แผ่นดินธรรม
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,6,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_valid is None,score_outlier: ไทยทรัพย์ทวี; score_outlier: ประชาอาสาชาติ; score_outlier: พลังไทยรักชาติ
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,7,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid,score_outlier: ไทยสร้างไทย
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,8,partylist,FAIL,MISMATCH,scores['มิติใหม่'] is None; scores['รวมพลังประชาชน'] is None; scores['ท้องที่ไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['คลองไทย'] is None; scores['ไทยก้าวหน้า'] is None; scores['ไทยภักดี'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['ประชาชาติ'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,score_outlier: อนาคตไทย; score_outlier: พลังสังคมใหม่; score_outlier: สังคมประชาธิปไดยไทย; score_outlier: ปวงชนไทย
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,9,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['กล้าธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,score_outlier: ปวงชนไทย
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,partylist,FAIL,OK,ballot_total is None; scores['พลวัต'] is None; scores['เศรษฐกิจ'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['คลองไทย'] is None; scores['ไทยภักดี'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,partylist,FAIL,OK,ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['เพื่อชาติไทย'] is None; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['รวมไทยสร้างชาติ'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['เพื่อไทย'] is None; scores['ทางเลือกไทย'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['พลังสังคมใหม่'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['คลองไทย'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None,single_party_dominance: ประชาชน; score_outlier: เศรษฐกิจ; score_outlier: ประชาชน
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_total is None,score_outlier: อนาคตไทย
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,partylist,FAIL,OK,ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['พลวัต'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['ประชากรไทย'] is None; scores['สร้างอนาคตไทย'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None,score_outlier: ปวงชนไทย; score_outlier: ไทยก้าวใหม่
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,partylist,FAIL,OK,ballot_total is None; scores['โอกาสใหม่'] is None,score_outlier: ประชาไทย; score_outlier: ประชาอาสาชาติ
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,partylist,FAIL,OK,ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['เพื่อชาติไทย'] is None; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['รวมไทยสร้างชาติ'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['เพื่อไทย'] is None; scores['ทางเลือกไทย'] is None,single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: อนาคตไทย; single_party_dominance: พลังเพื่อไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยภักดี; single_party_dominance: ไทยพร้อม; single_party_dominance: ภูมิใจไทย; single_party_dominance: กรีน; single_party_dominance: กล้าธรรม; single_party_dominance: พลังประชารัฐ; single_party_dominance: โอกาสใหม่; single_party_dominance: เป็นธรรม; single_party_dominance: ประชาชน; single_party_dominance: ไทยสร้างไทย; single_party_dominance: ไทยก้าวใหม่; single_party_dominance: ความหวังใหม่; score_outlier: อนาคตไทย; score_outlier: ความหวังใหม่
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_total is None,score_outlier: ไทยก้าวหน้า
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,partylist,FAIL,OK,ballot_total is None; scores['เศรษฐกิจ'] is None,score_outlier: ก้าวอิสระ
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_total is None,score_outlier: ท้องที่ไทย; score_outlier: พลังประชารัฐ
