source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,ไทยทรัพย์ทวี,เพื่อชาติไทย,ใหม่,มิติใหม่,รวมใจไทย,รวมไทยสร้างชาติ,พลวัต,ประชาธิปไดยใหม่,เพื่อไทย,ทางเลือกไทย,เศรษฐกิจ,เสรีรวมไทย,รวมพลังประชาชน,ท้องที่ไทย,อนาคตไทย,พลังเพื่อไทย,ไทยชนะ,พลังสังคมใหม่,สังคมประชาธิปไดยไทย,ฟิวชัน,ไทรวมพลัง,ก้าวอิสระ,ปวงชนไทย,วิชชั่นใหม่,เพื่อชีวิตใหม่,คลองไทย,ประชาธิปัตย์,ไทยก้าวหน้า,ไทยภักดี,แรงงานสร้างชาติ,ประชากรไทย,ครูไทยเพื่อประชาชน,ประชาชาติ,สร้างอนาคตไทย,รักชาติ,ไทยพร้อม,ภูมิใจไทย,พลังธรรมใหม่,กรีน,ไทยธรรม,แผ่นดินธรรม,กล้าธรรม,พลังประชารัฐ,โอกาสใหม่,เป็นธรรม,ประชาชน,ประชาไทย,ไทยสร้างไทย,ไทยก้าวใหม่,ประชาอาสาชาติ,พร้อม,เครือข่ายชาวนาแห่งประเทศไทย,ไทยพิทักษ์ธรรม,ความหวังใหม่,ไทยรวมไทย,เพื่อบ้านเมือง,พลังไทยรักชาติ
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,4,PASS,OK,,451,431,19,1,,,6,0,1,0,1,1,3,0,19,1,3,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,281,0,2,0,1,0,0,0,0,0,46,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,1
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,5,PASS,OK,score_outlier: ไทยภักดี; score_outlier: แผ่นดินธรรม,496,476,17,3,,,7,2,1,1,0,3,5,2,22,1,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,325,1,6,1,0,0,0,1,0,0,39,0,0,0,1,0,0,0,0,45,0,0,2,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,6,PASS,OK,score_outlier: ไทยทรัพย์ทวี; score_outlier: กรีน,552,525,16,11,,,16,4,0,1,1,11,10,3,34,0,9,4,1,0,0,0,2,0,0,1,0,0,0,0,0,1,292,2,2,1,1,0,0,0,1,0,46,0,2,0,0,1,1,0,0,75,0,0,0,0,1,0,0,0,1,1,0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,7,PASS,OK,score_outlier: กรีน,537,519,13,5,,,5,2,2,0,3,4,5,6,29,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,344,0,0,1,0,0,0,0,0,1,53,0,2,0,0,1,0,0,0,48,1,0,3,0,0,0,0,0,0,0,1
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,8,FAIL,OK,score_outlier: มิติใหม่; score_outlier: อนาคตไทย; score_outlier: พลังสังคมใหม่; score_outlier: สังคมประชาธิปไดยไทย; score_outlier: ปวงชนไทย,375,360,10,5,,sum(scores.values()) does not equal ballot_valid,8,1,2,2,2,7,1,4,10,2,11,3,0,0,1,0,0,1,2,0,0,0,1,0,0,0,199,0,0,1,0,0,0,0,0,1,61,0,0,0,0,1,0,0,0,38,1,0,0,0,1,0,0,0,0,0,0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,9,PASS,OK,score_outlier: ปวงชนไทย; score_outlier: ความหวังใหม่,446,416,22,8,,,10,4,1,0,0,1,2,2,10,1,5,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,286,0,1,0,0,0,2,0,0,1,47,0,0,0,0,1,0,0,0,32,1,0,0,0,0,0,0,1,0,1,1
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,PASS,OK,score_outlier: ไทยสร้างไทย,765,729,5,31,,,1,2,1,1,1,12,0,5,27,4,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,170,1,4,0,0,0,1,1,0,0,91,0,0,0,0,5,1,0,0,387,0,3,1,0,0,0,0,0,0,0,0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,PASS,MISMATCH,score_outlier: ทางเลือกไทย; score_outlier: เศรษฐกิจ; score_outlier: กรีน; score_outlier: กล้าธรรม; score_outlier: พลังไทยรักชาติ,762,731,9,22,,ballot_total differs between forms,1,0,1,0,1,12,2,4,23,6,16,3,3,0,0,0,1,0,1,0,0,0,0,0,1,0,218,1,1,1,0,0,1,0,0,0,95,1,2,0,0,6,0,0,0,323,1,1,3,0,0,0,0,0,0,0,2
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,PASS,OK,,765,745,6,14,,,1,2,0,0,1,9,0,4,30,2,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,1,0,1,0,1,0,0,0,98,0,0,0,0,3,0,0,0,345,1,1,4,0,0,0,0,0,0,0,1
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,PASS,OK,score_outlier: อนาคตไทย; score_outlier: ไทยสร้างไทย,520,498,2,20,,,1,1,2,0,0,7,0,3,20,0,5,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,141,1,3,0,0,0,0,1,1,0,60,0,0,0,0,1,1,0,0,242,0,3,0,0,0,0,0,0,0,0,0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,PASS,OK,score_outlier: ปวงชนไทย; score_outlier: ครูไทยเพื่อประชาชน; score_outlier: ไทยก้าวใหม่,765,731,3,31,,,0,5,0,0,0,9,0,4,28,3,5,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,177,1,2,1,0,1,1,0,1,0,101,0,0,0,0,2,0,0,0,376,1,2,5,0,0,0,0,0,0,0,0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,PASS,OK,score_outlier: ใหม่; score_outlier: รวมพลังประชาชน,763,727,2,34,,,1,0,3,0,1,4,3,0,16,4,8,3,4,0,0,0,0,0,0,0,1,0,0,0,0,1,226,1,4,0,0,0,1,0,1,0,81,0,0,0,0,0,0,0,0,360,0,2,2,0,0,0,0,0,0,0,0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,PASS,OK,score_outlier: อนาคตไทย; score_outlier: ความหวังใหม่,765,733,4,28,,,1,1,1,0,2,10,0,4,31,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,180,0,3,0,0,0,0,0,0,1,83,0,1,0,0,1,1,1,1,399,0,1,3,0,0,0,0,1,0,0,0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,PASS,OK,score_outlier: ไทยก้าวหน้า; score_outlier: ไทยสร้างไทย,765,736,5,24,,,2,2,0,0,1,9,3,4,27,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,227,4,2,0,0,0,0,0,1,1,88,0,0,0,0,2,0,0,0,346,0,3,2,0,0,0,0,0,0,0,0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,PASS,OK,score_outlier: ก้าวอิสระ; score_outlier: ประชาไทย; score_outlier: ไทยสร้างไทย,765,739,3,23,,,2,2,0,0,1,10,0,5,23,1,6,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,207,0,3,0,0,0,0,1,0,0,82,1,1,0,0,3,0,1,0,374,4,3,2,0,0,0,0,0,0,0,0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,PASS,OK,score_outlier: ท้องที่ไทย; score_outlier: พลังประชารัฐ,770,741,8,21,,,0,1,0,1,1,9,1,9,22,2,11,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,244,1,4,0,0,0,0,0,0,0,79,0,1,0,0,0,2,0,0,345,0,0,1,0,0,0,0,0,0,0,0
